"revista","año","numeros","titulos","resumenes"
"Análisis Económico",2021,91,"En torno al uso del INPC como meta de la política monetaria","Utilizando a la primera ecuación fundamental de las Cuentas Nacionales −la cual está basada en un índice de cantidades a la Laspeyres y uno de precios a la Paasche− y al documento metodológico del Índice Nacional de Precios al Consumidor publicado por el INEGI se argumentará, desde el análisis económico y la teoría de los números índices y su medición −incluida la literatura de los errores y sesgos−, que la variable observada que se corresponde con la definición del nivel de precios es el índice de precios implícito del PIB. El objetivo será entonces evidenciar la incompatibilidad entre una noción teórica −la referida al nivel de precios− y el uso de la tasa de crecimiento del INPC −ligada a la medición del poder de compra de las familias− como meta de la política monetaria. Al mismo tiempo, se proponen algunas soluciones explícitamente dirigidas al Banco de México y al INEGI.Clasificación JEL: E31; E52; D11."
"Análisis Económico",2021,91,"Inasistencia escolar y trabajo infantil en México: brechas Norte-Sur, Género y Rurales","Este estudio investiga características individuales, familiares y contextuales de niños entre 12 y 17 años que determinan la inasistencia escolar (naesc) y su integración al mercado laboral (pea) a nivel nacional, y en los estados fronterizos del norte y del sur, incluyendo a la península de Yucatán. Con datos del Módulo de Trabajo Infantil 2017, se construyeron modelos probit para estimar las probabilidades de naesc y pea y evaluar los efectos marginales de características observables mientras que la descomposición no lineal se usó para evaluar diferencias geográficas, género y rurales. Las diferencias en la probabilidad de naesc y pea son menores a .9 por ciento entre el Norte y el Sur. Aunque las diferencias entre géneros no son mayores a .2 por ciento para naesc, son hasta de 12 por ciento para pea. Las diferencias entre localidades no-rurales y rurales es consistentemente grande, 9-14 por ciento para naesc, y 8-10 por ciento para pea. El apoyo gubernamental para la educación mostró efectos marginales significativos en todo el país, el norte y el sur."
"Análisis Económico",2021,91,"Movilidad de ingresos en los sectores formal e informal en la Ciudad de México 2005-2019","Se busca determinar la diferencia en la movilidad de ingresos para los trabajadores del sector formal y del sector informal en la Ciudad de México. Se usa un Pseudo-panel basado en la Encuesta Nacional de Empleo (ENOE), para construir cohortes, y se estima una ecuación de movilidad absoluta y otra de movilidad condicionada. Los resultados sugieren que en la CDMX existe una baja movilidad absoluta y condicionada de los ingresos de los ocupados formales e informales. Sin embargo, el sector informal tiene una menor movilidad de ingresos en comparación con el sector formal. Una política pública de empleo formal podría favorecer a la población joven y ocupada que se encuentra en los deciles de ingreso más bajos en ambos sectores."
"Análisis Económico",2021,91,"Propuesta de Fondos Cotizados (ETFs) sectoriales en México y carteras eficientes: 2018","Se propone crear ETFs sectoriales, con datos de 2018, para su cotización en el mercado mexicano. Con los ETFs propuestos se conforma un portafolio óptimo, poniendo en evidencia qué sector tiene la mejor relación riesgo/rendimiento y, por tanto, debería ser el primer ETF en ofertarse. Los resultados indican que el algoritmo construido es eficiente por lo que la réplica física es exitosa. Los sectores para iniciar la construcción de ETFs son Consumo Frecuente y Materiales. La originalidad radica en que no existen ETFs sectoriales en México y son clave para promover la inversión y realizar estrategias como la de rotación sectorial.Clasificación JEL: G11; D53; P34; O16."
"Análisis Económico",2021,91,"Revisión y propuesta para mejorar la medición de la desigualdad de ingresos en El Salvador","El indicador más utilizado para estimar la desigualdad de ingresos es el Coeficiente de Gini, pero en El Salvador se estima con una metodología diferente, la cual tiene muchas deficiencias y dificulta la comparabilidad con otros países de la región, además de no reflejar la realidad existente. En el documento se recomienda un recálculo del Coeficiente de Gini oficial que se aproxime a la situación nacional actual y que siga las recomendaciones y lineamientos metodológicos internacionales. Los resultados indican una diferencia de hasta 15.0 % entre las cifras oficiales y el recálculo propuesto. Además, se recomienda la utilización del Índice de Palma para complementar el análisis con indicadores de desigualdad alternativos."
"Análisis Económico",2021,91,"Riesgos económicos en México según informes oficiales","El presente artículo analiza los riesgos macroeconómicos identificados en las consultas anuales del Fondo Monetario Internacional (FMI) emitidas entre 2017 y 2019 sobre México, las cuales indicaban debilidad en la economía nacional para hacer frente a perturbaciones externas. Se comparan tres documentos del FMI para detectar los cambios durante un periodo importante, debido a la alternancia política y económica de 2018. Después se validan los riesgos presentados en 2019 por el FMI con los reportes oficiales de las autoridades económicas mexicanas (Banxico, SHCP) y con documentos similares de organizaciones internacionales (OCDE, Banco Mundial y BBVA) buscando similitudes y diferencias entre ellos. Los hallazgos principales indican la existencia de señales sobre la debilidad económica mexicana, así como la existencia de convergencias (bajos niveles de crecimiento, inversión y de consumo e incertidumbre por las nuevas políticas fiscales) y divergencias (el enfoque de cada organización). Finalmente, debido a la crisis sanitaria y económica mundial por la pandemia COVID-19, reportes recientes coinciden que existe un entorno de incertidumbre intrínseca presente en cualquier crisis económica al no saber el inicio, fin y magnitud del impacto que el evento tendrá sobre la economía mexicana. Clasificación JEL: E32; E6; E63; E52."
"Econoquantum",2021,"18-1","Modelo estadístico para defunciones y casos positivos de covid-19 en México","Objetivo: Utilizar un modelo estadístico de las defunciones y casos positivos de covid-19 en México, para estudiar el comportamiento de la pandemia y contribuir a definir alternativas y políticas públicas que puedan mitigar el daño de la enfermedad en la sociedad.Metodología: Se empleó la información oficial de la Secretaría de Salud respecto del número de casos positivos de covid-19 y del número de defunciones causadas por esta enfermedad en México.Limitaciones: Las limitaciones del estudio son el reducido número de datos y la posibilidad de fallas en la contabilidad de contagios y defunciones.Originalidad: Estima un modelo basado en los datos de la pandemia en México y su aplicación.Resultados: El modelo seleccionado fue el de Gompertz con cuatro parámetros.Conclusiones: El modelo muestra un adecuado ajuste y su utilidad en la aplicación en niveles regionales y futuros rebrotes de la enfermedad, para tomar medidas y elaborar políticas públicas que permitan aminorar el daño causado por la pandemia."
"Econoquantum",2021,"18-1","Efectos de los factores macroeconómicos e individuales sobre la movilidad socioeconómica en México: análisis mediante la estimación de un Modelo Probit Ordenado Generalizado","Objetivo: Realizar un análisis empírico del efecto que factores macroeconómicos y características individuales tienen sobre la probabilidad de que un individuo pueda descender, permanecer o avanzar en los estratos socioeconómicos. Metodología: Modelo Probit Ordenado Generalizado con datos de la Encuesta de Movilidad Social 2011. Resultados: El crecimiento de la economía, el logro educativo y ocupacional del individuo son las principales variables que influencian las probabilidades de movilidad ascendente y que reducen las probabilidades de descenso. El crecimiento económico inhibe la movilidad descendente, consolida la posición adquirida e impulsa el ascenso socioeconómico.Las variables que representan la política educativa y la apertura comercial actúan en sentido opuesto. Limitaciones: No se realiza un análisis por cohortes. Originalidad: El trabajo incorpora variables macroeconómicas para explicar la movilidad social, cuando la literatura se centra en decisiones y características del hogar de origen y del entrevistado. Conclusiones: Los resultados llaman a una reflexión crítica sobre la forma en la que la política educativa y de apertura comercial son diseñadas de tal forma que favorezcan la mejora de oportunidades para todos."
"Econoquantum",2021,"18-1","Compatibilidad en redes de cajeros automáticos: un enfoque basado en agentes","Objetivo: Analizar la regulación establecida por el Banco de México (2010) en comisiones por transacciones en cajeros automáticos. Metodología: Se utiliza la modelación basada en agentes y el software NetLogo para modelar el mercado de cajeros automáticos en México. Se analizan tres versiones del modelo donde los tarjetahabientes deciden bajo reglas de comportamiento: irracional, probabilística y racional. Limitaciones: En los modelos basados en agentes los resultados dependen de las condiciones establecidas inicialmente, por lo que se calibra el modelo para el contexto mexicano con estadísticas reportadas por el Banco de México y la Comisión Nacional Bancaria y de Valores. Originalidad: Dada la falta de evidencia en la literatura, la investigación contribuye al presentar los efectos de la regulación en cajeros desde una perspectiva teórica utilizando el enfoque computacional basado en agentes. Resultados: Se encuentra que, independientemente de la regla de decisión, los clientes de bancos grandes son beneficiados con la regulación. Conclusiones: La implementación de la cuota de intercambio inversa debe ser ampliamente analizada dado sus efectos directos sobre variables clave del mercado como precios, ganancia de los bancos y excedente de los consumidores."
"Econoquantum",2021,"18-1","Covid-19 y pronósticos sobre crecimiento económico para economías avanzadas y emergentes","Objetivo: Estimar el tamaño y la dinámica de la pandemia del coronavirus (covid-19) de economías avanzadas y economías emergentes y en desarrollo, así como sus implicaciones en el crecimiento económico. Metodología: Se implementa el modelo Susceptible Infectado Recuperado (sir), se calcula el tamaño de la pandemia mediante integración numérica y se utilizan diagramas de fase para conocer la trayectoria del covid-19; finalmente, se hacen pronósticos de crecimiento con modelos de ensamble (bosques aleatorios). Resultados: Se confirman las diferencias de tamaño y contagio entre los países; asimismo, las trayectorias exhiben ciclos en forma de espiral. Se espera que la recuperación económica sea lenta pero gradual en las naciones. Limitaciones: Todos los países difieren en número de pruebas aplicadas para detectar el covid-19, esto puede llevar a un número impreciso de casos totales y una estimación imprecisa de la propagación y el tamaño de la pandemia. Además, hay una falta de indicadores adelantados en algunos países, lo que genera un mse más alto de algunos de los modelos de machine learning. Originalidad: Se hace uso de modelos económicos epidemiológicos para analizar la evolución y expansión del virus a través del tiempo. Conclusiones: Se encontró que el tamaño final de la pandemia se encuentra entre el 74% y el 77%. Asimismo, se demuestra que el covid-19 es endémico, con una prevalencia constante de 9 años en promedio"
"Econoquantum",2020,"17-2","Un enfoque del VaR heterocedástico condicional con distribuciones alternativas","Objetivo: El propósito de este trabajo es explorar diferentes distribuciones en la estimación del Valor en Riesgo (VaR) como una opción en el mercado mexicano.   Metodología: Estimamos un modelo GARCH bajo la hipótesis de las distribuciones Gaussiana, Normal Inversa Gaussiana, t-student Sesgada Generalizada y Estable. Implementamos este modelo para predecir los VaR a un día y finalmente examinamos el desempeño de estos cuatro modelos VaR durante una período de alta volatilidad.   Resultados: El resultado del backtesting confirma que el VaR estable a un nivel de confianza del 99% supera a los otros modelos en la predicción del VaR.   Limitaciones: Aunque el VaR es una medida de riesgo ampliamente utilizada, no es una medida de riesgo coherente, por esta razón, una extensión natural de nuestra investigación sería estimar el Valor en Riesgo Condicional (CVaR) lo cual podría generar diferentes resultados.   Conclusiones: Nuestros hallazgos revelan que los modelos que consideran algunas características empíricas de los rendimientos financieros, tales como leptocurtosis, agrupamiento de volatilidad y asimetría, mejoran la capacidad de predicción del VaR. Lo anterior es importante en la búsqueda de enfoques más precisos y eficientes en la estimación de VaR."
"Econoquantum",2020,"17-2","Análisis de la curva ambiental de Kuznets en los países del TLCAN, 1971-2014","Objetivo: Este artículo analiza la curva ambiental de Kuznets (EKC) para los países del Tratado de Libre Comercio de América del Norte (TLCAN) durante 1971-2014.   Metodología: En el trabajo se aplican pruebas de raíz unitaria, cointegración y causalidad haciendo uso de la metodología de datos panel.   Resultados: Los resultados de este trabajo sugieren que las series son integradas de orden uno y que relación a largo plazo entre las variables. Además, se confirma la hipótesis ekc. El análisis señala que la energía renovable y la apertura comercial contribuyen a la reducción de la contaminación en estos países.   Limitaciones: Los resultados sugieren la necesidad de llevar a cabo más investigaciones que incluyan otras variables como desarrollo financiero o capital humano.   Originalidad: El presente artículo contribuye a entender la relación que existe entre la apertura comercial y el consumo de energía renovable, por un lado, y la contaminación, por el otro.   Conclusiones: Las políticas relacionadas con la apertura comercial y ambientales podrían considerar que las energías renovables y el comercio ayudan a reducir las emisiones contaminantes en estos países"
"Econoquantum",2020,"17-2","Sistema de partidos y eficiencia en la provisión de bienes públicos: un análisis formal","Objetivo: Avanzar en una explicación teórica sobre el efecto que tiene el sistema de partidos sobre el uso eficiente de los recursos públicos, particularmente sobre el uso clientelar del empleo gubernamental. Metodología: Se desarrolla un modelo formal para abordar el problema antes descrito. Resultados: Se presenta un modelo formal que logra capturar cómo el incremento del número de partidos políticos que compiten en una economía incentiva un mayor uso clientelar del empleo gubernamental. Limitaciones: Si bien este trabajo busca explicar los resultados de otros análisis empíricos y avanzar en términos teóricos, únicamente presenta un modelo formal sin aportar evidencia empírica. Originalidad: A saber del autor, hasta la fecha no hay en la literatura un modelo teórico que, enfocado en el uso del empleo gubernamental, explique los efectos que el sistema de partidos puede tener en el empleo clientelar de los recursos públicos. Conclusiones: El modelo explica como la presencia de un mayor número de partidos genera nuevos grupos de votantes políticamente rentables, que pueden ser capturados por el partido en el gobierno mediante el ofrecimiento de empleo burocrático."
"Econoquantum",2020,"17-2","Dinámicas de pobreza en México, 2008-2018","Objetivo: Estudiar las dinámicas de pobreza en México bajo una temporalidad más amplia que en la literatura actual. Metodología: Pseudopanel de Dang y Lanjouw (2013) con datos de encuestas de ingresos y gastos de los hogares. Limitaciones: La metodología define a la pobreza como un fenómeno unidimensional. Originalidad: Este trabajo supone un esfuerzo por estudiar las dinámicas de pobreza con mediciones oficiales, sin la necesidad de datos panel. Conclusiones: Cerca de la mitad de la población estuvo en pobreza crónica por ingresos. Además, se identifica que los hogares más afectados son aquellos con carencia por acceso a servicios básicos en la vivienda, por acceso a servicios de salud, rezago educativo o aquellos que han estado en situación de pobreza durante cuatro años o más. Esto llama a la necesidad de políticas públicas dirigidas a un problema estructural."
"Econoquantum",2020,"17-1","¿A las corporaciones les importa? Responsabilidad social corporativa y compromiso de la empresa","¿Cuáles son los determinantes de la empresa para participar en la Responsabilidad Social Corporativa (RSC)? ¿En qué condiciones es probable que ocurra? La evidencia sugiere tres posibles mecanismos que afectan el compromiso de una empresa con la RSE: el papel del crecimiento en el valor agregado dentro de una industria, los efectos de los pares y las actitudes de los trabajadores. Los resultados son consistentes con la teoría del marco institucional, que sugiere que las empresas se involucran en prácticas de RSE en tiempos de prosperidad económica. Más evidencia muestra que los efectos de pares también son relevantes en la decisión de una empresa de participar en la RSE. Con respecto a las actitudes de los trabajadores, este documento proporciona evidencia de un vínculo débil entre las preferencias de la fuerza laboral y la decisión de una empresa de participar en la RSE."
"Econoquantum",2020,"17-1","Equilibrios de equidad grupal","En este artículo extendemos el modelo de equilibrio de equidad de Rabin (1993) a grupos de individuos y definimos un nuevo concepto de solución que denominamos ""equilibrio de equidad de grupo"". Modelamos dos juegos con dos jugadores, donde cada jugador en cada juego pertenece a uno de dos grupos. Analizamos cómo el resultado de un juego puede afectar el resultado del otro y cómo la existencia de un individuo con un particular resentimiento o agrado hacia el jugador con el que está jugando puede afectar el resultado de ambos juegos. Analizamos algunas aplicaciones de nuestro modelo"
"Econoquantum",2020,"17-1","Estimación de la tasa de sacrificio para México, 1998Q1-2018Q4 ","Romer y Romer (1989) demostraron, para Estados Unidos, que la política monetaria es exitosa en reducir la inflación solo si es capaz de generar recesión económica. Si esto es cierto, la política desinflacionaria que ha aplicado el Banco de México tiene un costo en producto y empleo, por lo que no es socialmente neutral.Con una curva de Phillips Aceleracionista con brecha de desempleo, calculamos la tasa de sacrificio en México (2002Q1-2018Q4) y encontramos que la brecha de desempleo necesaria para reducir en un punto la inflación es de 2.525 puntos porcentuales.Mostramos que esta curva de Phillips es lineal y no presenta cambios estructurales y sugerimos que desde que se abandonó “el corto” en 2008 la política monetaria ha ganado eficiencia, y que la pérdida de empleo que genera es transitoria porque la economía no ha salido de su trayectoria de equilibrio de mediano plazo."
"Econoquantum",2020,"17-1","La heterogeneidad de los agentes inversores en las series de la Bolsa Mexicana de Valores","Los agentes que intervienen en un mercado construyen el mercado a su medida, los estudios previos han constatado cómo ciertas características aisladas de los agentes inversores impactan de forma directa en sus decisiones e indirectamente en los precios de las compañías. Desde este punto de vista, el presente trabajo se enfoca en combinar indicadores de los agentes que previamente han demostrado dicho efecto, con el objetivo primordial de caracterizar de forma compleja a las series. Un segundo propósito fue identificar cuáles de estos indicadores intervienen en la volatilidad de los rendimientos de los títulos. Se consideró una muestra de 1116 agentes inversores participantes en 84 series de la Bolsa Mexicana de Valores (BMV); los resultados mostraron tres tipos diferentes de series, y tres indicadores con impacto significativo en la volatilidad de los rendimientos de las series: el nivel de participación de los agentes en las series la tipología de agentes familiares y la proximidad cultural del agente. Los resultados del estudio aportan información relevante sobre cómo la estructura y composición compleja de los agentes inversores participantes impacta en el comportamiento de las series de la BMV."
"Econoquantum",2019,"16-2","Desigualdad de ingresos y la empresa: Su conceptualización y medición ","La desigualdad salarial empresarial conlleva una serie de efectos para la empresa, la sociedad y el trabajador, por su parte, su estudio es aún incipiente y plantea complejidades que demandan mayor atención. Se presenta la discusión del fenómeno y se propone una forma de medirlo en sus principales rubros, haciendo el ejercicio para un grupo de empresas situadas en la ciudad de Monterrey, México. Los resultados permiten observar el tipo de desigualdad existente para cada empresa, para el grupo de éstas y su comparación con los índices nacionales. Estas mediciones plantean importantes oportunidades en el diseño de política pública y empresarial, así como un amplio campo de investigación en el ámbito de la relación entre empresa y sociedad."
"Econoquantum",2019,"16-2","Contagio vía Cópulas Dinámicas en los Mercados de Capitales del TLCAN (2000-2016)","En este trabajo se estudian las relaciones de dependencia entre los mercados de capitales del bloque del TLCAN, indagando sobre la presencia de contagio. El estudio es realizado a través de la metodología de cópulas con implementación de ventanas móviles. El periodo de análisis es de 2000 a 2016; tomándose tres periodos de 15 años, para los cuales se emplean ventanas móviles de diferente tamaño: a) 2000-2014 utilizando ventanas móviles de dos años siete meses, b) 2001-2015 con ventanas de un año siete meses y c) 2002-2016 con ventanas de siete meses; dichos periodos son seccionados en 3 subperiodos de 5 años cada uno: i) Pre-Crisis, ii) Crisis, y iii) Pos-Crisis. La evidencia empírica muestra notorio contagio durante el periodo de la Crisis Financiera Mundial del 2008 y su consecuente magnitud temporal."
"Econoquantum",2019,"16-2","Análisis de significancia de los incrementos del Impuesto al Valor Agregado para la región fronteriza de: Quintana Roo, 2003 – 2015","De 1995 a 2009, las regiones fronterizas, que incluían a Quintana Roo, disfrutaron de una tasa preferencial de Impuesto al Valor Agregado (IVA) del 10%. El resto del país tenía una tasa de 15%, sin embargo desde 2010 y hasta 2013, la tasa para regiones fronterizas se incrementó a 11% y a fines de ese año, el Presidente de la República presentó una iniciativa para generalizar la tasa a nivel nacional a dieciséis%. Se argumentó que un diseño ideal sería aquel en el que no hubiera ni excepciones ni tratamientos preferenciales. El objetivo principal de este trabajo es evaluar si los cambios de tarifas en Quintana Roo pueden considerarse significativos; Para lograrlo, se aplicarán métodos clásicos de significación, pero contrastados con pruebas para la diferencia tipificada de los parámetros fundamentales promedio del metaanálisis."
"Econoquantum",2019,"16-2","Modelación Markoviana para identificar la dinámica y pronóstico del índice de producción industrial en México de 1980 a 2018","En este artículo, por medio de modelación Markoviana estudiamos la identificación de los estados estocásticos y pronóstico del índice mensual de producción industrial en México de 1980 a 2018. Dado que la muestra de datos está sujeta a fuertes fluctuaciones económicas y financieras, de una batería de modelos auto-regresivos (lineales y con parámetros Markovianos de cambio de régimen) se elige la especificación del modelo que mejor se ajusta a los datos a través del factor de Bayes. La selección del modelo provee evidencia de que las tasas de crecimiento mensual de este índice presentan parámetros (media y volatilidad) que cambian con el tiempo. Se lleva a cabo un ejercicio de pronóstico sobre el modelo Markoviano de mejor ajuste a los datos. Para medir su capacidad de inferencia, se compara su eficiencia respecto de la especificación lineal auto-regresiva en la misma serie de datos. Los resultados muestran que la media de los errores de pronóstico (dentro y fuera de la muestra) son menores en la especificación Markoviana. La metodología Bayesiana aplicada permite estimar de forma endógena e inferir de manera precisa incluso por problemas de identificación de parámetros Markovianos, pequeño número de observaciones en regímenes, datos atípicos, número de regímenes e incertidumbre de parámetros sujetos a cambio de estado."
"Econoquantum",2019,"16-2","Sobreprecio por volumen en tiendas de autoservicio en línea en México","En este artículo, estimamos que 11.15% de los productos relevantes tienen sobreprecio por volumen –el precio por unidad de la presentación grande es mayor que el de la presentación chica– en las tiendas de autoservicio en línea del país. Además, empleamos un modelo empírico para someter a prueba varias teorías sobre los factores que lo provocan. Entre otras cosas, encontramos que el sobreprecio por volumen se presenta con mayor probabilidad en los productos refrigerados y con menor probabilidad en los productos de marca de la tienda. "
"Econoquantum",2019,"16-1","Convergencia municipal en México con modelos de econometría espacial (1999-2014) ","Comúnmente los estudios de convergencia en México no consideran la dependencia espacial entre áreas vecinas y solo unos cuantos de estos comprueban la hipótesis en el nivel municipal. Por ello el objetivo es comprobar si la convergencia (absoluta y condicional) ha ocurrido entre los municipios mexicanos durante el periodo 1999-2014 y evaluar si la contigüidad geográfica influye en el proceso. La evidencia permite concluir que los municipios pobres crecieron económicamente más rápido que los ricos, particularmente en el último quinquenio del periodo de estudio, y la dimensión espacial resultó ser un elemento cuya importancia se redujo con el tiempo; los anteriores resultados anticipan un crecimiento regionalmente más autónomo de las economías en años recientes."
"Econoquantum",2019,"16-1","Estudio empírico sobre el tipo de cambio mxn/usd: movimiento browniano geométrico versus proceso varianza-gamma","En este artículo examinamos el comportamiento del mercado cambiario en México, el cual se caracteriza por movimientos extremos muy frecuentes ocasionados por la información generada dentro del mercado financiero y el entorno macroeconómico internacional. Modelamos estos movimientos extremos utilizando un proceso varianza gamma, el cual nos permite capturar el sesgo y el exceso de curtosis de los rendimientos del tipo de cambio. Concluimos que, en general, este proceso ajusta mejor a los datos que el movimiento browniano geométrico – basado en la densidad normal– y nos permite estimar con mayor precisión el Valor en Riesgo (VaR). Mostramos, además, que el ajuste mejora conforme aumenta la ventana temporal utilizada para calcular los rendimientos del mercado cambiario.Finalmente, realizamos un backtesting del VaR mediante la prueba de Kupiec."
"Econoquantum",2019,"16-1","Determinación de un portafolio de referencia para las SIEFORE Básicas a través de un modelo de riesgo-rendimiento que optimiza la tasa de reemplazo ","El sistema pensionario en México opera actualmente a través de cuentas individuales en donde el trabajador, el patrón y el gobierno aportan un porcentaje del salario a la cuenta de cada afiliado. Estos recursos son invertidos en diversos instrumentos financieros a través de Sociedades de Inversión (SIEFORES). El objetivo del estudio es elaborar un portafolio de referencia para cada una de las cuatro SIEFORE Básicas, incorporando activos y pasivos de largo plazo, para optimizar las inversiones del portafolio, con el fin de lograr la máxima tasa de reemplazo posible. Los resultados convergen a portafolios más conservadores que los que actualmente administran las SIEFORE. El portafolio de referencia obtenido asigna un bajo porcentaje a instrumentos de renta variable y un mayor peso a instrumentos de renta fija, la optimización elige también portafolios con instrumentos de menor plazo, 3 y 5 años, sobre instrumentos de más largo plazo. "
"Econoquantum",2019,"16-1","Mercados integrados y políticas de control ambiental ","El trabajo desarrolla un modelo de equilibrio parcial en condiciones de mercados integrados en el comercio bilateral de un bien homogéneo, en el cual dos empresas heterogéneas y monopólicas en sus respectivos países que generan contaminantes compiten bajo un esquema oligopólico. De esta manera los gobiernos deben aplicar políticas ambientales estratégicas que garanticen un medio ambiente saludable, pero que al mismo tiempo consideren el beneficio de las empresas y de los consumidores, además del ingreso propio a través de la recaudación de impuestos de contaminación a las empresas. Los resultados establecen que, si el costo marginal por contaminar es muy alto entonces, el gobierno debe implementar un impuesto de contaminación elevado. Por otro lado, si el costo marginal por contaminar no es muy significativo, el gobierno aplicará un impuesto nulo a la emisión de contaminantes."
"Econoquantum",2019,"16-1","Estimadores encogidos en modelos de ecuaciones simultáneas para el análisis del mercado de carne de bovino en México","El objetivo principal en este trabajo fue usar regresión LASSO (Least Absolute Shrinkage and Selection Operator) como método de selección de instrumentos en la estimación de mínimos cuadrados en dos etapas (Mc2E) en un sistema de ecuaciones simultáneas propuesto para realizar un análisis econométrico del mercado de carne de bovino en México en el periodo 1972-2011. Un factor determinante en el desempeño de los estimadores es el grado de correlación de los instrumentos con las variables endógenas en la primera etapa. Cuando los instrumentos son débiles, los estimadores de Mc2E son inconsistentes, sesgados, y tienen varianzas grandes; los resultados asintóticos fallan incluso con muestras grandes. Los resultados muestran que mediante lasso es posible seleccionar instrumentos relevantes, y obtener mejores estimadores que redunden en un mejor diseño de políticas. "
"Econoquantum",2018,"15-2","Impactos del Programa Procampo en la producción de maíz y frijol en México, 2000-2010","El Programa de Apoyos Directos al Campo (Procampo), se implantó en México en 1993 con la finalidad de impulsar la producción agrícola y mitigar las condiciones adversas que algunos productores pudieran enfrentar como resultado de la puesta en marcha del Tratado de Libre Comercio de América del Norte (TLCAN).En este trabajo se revisa el impacto de dicho programa en los hogares rurales mexicanos productores de maíz, en comparación con los de frijol, bajo la hipótesis de que los beneficiarios tienen mejoras en su producción, en comparación con sus contrapartes que hasta 2010 no habían recibido el apoyo, y que dichas mejoras difieren entre beneficiarios, dependiendo del producto agrícola que producen: maíz o frijol. Con la ayuda de un modelo econométrico aplicado a información proveniente de la Encuesta Nacional de Hogares Rurales de México de El Colegio de México, se muestra que existen diferencias significativas entre los hogares agrícolas beneficiarios y los no beneficiarios, a favor de los primeros, y también entre el grupo de beneficiarios, a favor de los productores de maíz."
"Econoquantum",2018,"15-2","Encadenamientos productivos y jerarquías de sectores de base tecnológica en México","Mediante la teoría de grafos se realiza un análisis jerárquico de los sectores de base tecnológica (SBT) en México y de sus encadenamientos productivos; se utiliza la matriz nacional de Insumo-Producto 2012, publicada por el INEGI. En el análisis, se describen las jerarquizaciones por medio de sus ventas y compras, así como las interrelaciones sectoriales que generan los SBT y su posición relativa con el resto de sectores industriales, mostrando que el subsector de química y farmacéutica es clave en los encadenamientos productivos, en tanto que el resto de subsectores de base tecnológica se posicionan mayormente como impulsores o independientes."
"Econoquantum",2018,"15-2","Transiciones de desempleo en el mercado laboral mexicano y el papel de los canales de búsqueda de empleo","Este estudio examina los efectos generales de un conjunto de características personales, canales de búsqueda y variables financieras sobre la probabilidad de pasar del desempleo al empleo. Mediante la Encuesta Nacional de Ocupación y Empleo 2005-2015 (ENOE). Parece haber una correlación positiva y fuerte entre estar empleado formalmente y hacer la transición a un empleo formal en el período t + 1. Hay un ""desempleo de espera"", porque aquellos con niveles más bajos de educación experimentan más transiciones en comparación con los individuos más educados. parece ser la presencia de un “efecto cicatrizante” que se recoge al introducir la duración de las semanas de búsqueda de empleo en la estimación, y significa que los períodos de desempleo se asocian positivamente con la permanencia en el desempleo. Finalmente, las mujeres parecen beneficiarse más cuando usan diferentes tipos de canales de búsqueda, como cargar o responder una oferta de trabajo en línea y usar periódicos o anuncios clasificados para conseguir un trabajo."
"Econoquantum",2018,"15-2","¿Los delitos violentos ahuyentan a los turistas? Evidencia de datos de panel de 32 estados mexicanos","La intensificación de los delitos violentos en México a menudo se caracteriza por ser perjudicial para la industria turística mexicana. Sin embargo, ningún estudio econométrico hasta ahora cuestiona esta afirmación con datos. Por lo tanto, este artículo analiza empíricamente el impacto de la delincuencia en las llegadas de turistas a México durante el período 1990 a 2010. Utilizando un conjunto de datos de panel para los 31 estados federales mexicanos y la Ciudad de México, encuentro un efecto negativo y significativo de los homicidios en el número de turistas que llegan. Este hallazgo es robusto para muestras y técnicas de estimación alternativas. Además, al desagregar los datos de llegada de turistas en locales e internacionales, encuentro que los turistas internacionales parecen estar más intimidados por los homicidios que los locales."
"Econoquantum",2018,"15-2","El efecto halo, el conocimiento privado y la elección del fondo de retiro: un modelo teórico para el caso de las Afores de México ","La evidencia empírica muestra que los trabajadores mexicanos con frecuencia eligen un administrador de ahorros para la jubilación de menor rendimiento en lugar de uno de mayor rendimiento, dañando sus perspectivas de ingresos de jubilación. Este artículo de investigación muestra que un comportamiento tan desconcertante puede ocurrir como producto de la historia privada no observable entre los trabajadores y las empresas agrupadas en torno a una marca común, en un ejemplo de lo que se conoce como efecto halo. Para sustentar esta hipótesis se construye un modelo teórico de conocimiento privado y probabilidad subjetiva con compromiso a largo plazo. Los resultados son consistentes con la idea de que el efecto halo inducido por el conocimiento privado puede producir un proceso de decisión racional para producir un resultado aparentemente irracional."
"Econoquantum",2018,"15-1","Inversión extranjera directa y fusiones domésticas en presencia de productos diferenciados: Un análisis de bienestar social y política pública ","En este trabajo analizamos el efecto de las fusiones en el bienestar de un país receptor (doméstico) de inversión extranjera directa. Utilizando un modelo de equilibrio parcial con competencia imperfecta, empresas domésticas y empresas foráneas compiten produciendo bienes diferenciados. El gobierno en el país doméstico establece subsidios discriminatorios entre las empresas domésticas y foráneas. Como primer resultado el subsidio óptimo impuesto a las empresas foráneas es negativo afectando el excedente del consumir y del productor, así como el ingreso/gasto impositivo.       Cuando las empresas domésticas se fusionan para obtener una ventaja competitiva con respecto a las empresas foráneas, el resultado sobre el bienestar es ambiguo. Cuando este es negativo el gobierno establece incentivos en forma de subsidio a las empresas foráneas. Finalmente, cuando la diferenciación de los bienes es mayor el bienestar del país doméstico mejora, en este sentido las preferencias de los consumidores son relevantes. "
